STN,YYYYMMDD,FG
225,20180101,  114
225,20180102,  100
225,20180103,  176
225,20180104,  120
225,20180105,   88
225,20180106,   61
225,20180107,  109
225,20180108,  103
225,20180109,   59
225,20180110,   43
225,20180111,   34
225,20180112,   30
225,20180113,   42
225,20180114,   55
225,20180115,  125
225,20180116,  140
225,20180117,  156
225,20180118,  135
225,20180119,   94
225,20180120,   66
225,20180121,   63
225,20180122,   75
225,20180123,  107
225,20180124,  131
225,20180125,   92
225,20180126,   41
225,20180127,   99
225,20180128,  105
225,20180129,  116
225,20180130,   67
225,20180131,  126
225,20180201,  105
225,20180202,   83
225,20180203,   53
225,20180204,   82
225,20180205,   77
225,20180206,   64
225,20180207,   30
225,20180208,   60
225,20180209,   68
225,20180210,   75
225,20180211,  135
225,20180212,  103
225,20180213,   76
225,20180214,   79
225,20180215,   81
225,20180216,   64
225,20180217,   27
225,20180218,   44
225,20180219,   37
225,20180220,   41
225,20180221,   48
225,20180222,   72
225,20180223,   82
225,20180224,  106
225,20180225,   95
225,20180226,   84
225,20180227,   60
225,20180228,  110
225,20180301,  157
225,20180302,  140
225,20180303,   81
225,20180304,   52
225,20180305,   64
225,20180306,   37
225,20180307,   40
225,20180308,  103
225,20180309,   48
225,20180310,   60
225,20180311,   45
225,20180312,   44
225,20180313,   62
225,20180314,   52
225,20180315,   73
225,20180316,  101
225,20180317,  157
225,20180318,  139
225,20180319,  103
225,20180320,   85
225,20180321,   49
225,20180322,   67
225,20180323,   75
225,20180324,   33
225,20180325,   39
225,20180326,   30
225,20180327,   42
225,20180328,   56
225,20180329,   45
225,20180330,   51
225,20180331,   30
225,20180401,   34
225,20180402,   54
225,20180403,   77
225,20180404,   65
225,20180405,   92
225,20180406,   65
225,20180407,   46
225,20180408,   35
225,20180409,   65
225,20180410,   54
225,20180411,   73
225,20180412,   70
225,20180413,   35
225,20180414,   34
225,20180415,   23
225,20180416,   58
225,20180417,   55
225,20180418,   39
225,20180419,   42
225,20180420,   33
225,20180421,   51
225,20180422,   54
225,20180423,   87
225,20180424,  105
225,20180425,  103
225,20180426,  109
225,20180427,   53
225,20180428,   60
225,20180429,   70
225,20180430,   85
225,20180501,  123
225,20180502,   87
225,20180503,   41
225,20180504,   33
225,20180505,   59
225,20180506,   48
225,20180507,   43
225,20180508,   33
225,20180509,   33
225,20180510,   57
225,20180511,   38
225,20180512,   45
225,20180513,   61
225,20180514,   70
225,20180515,   59
225,20180516,  108
225,20180517,  100
225,20180518,   66
225,20180519,   35
225,20180520,   42
225,20180521,   71
225,20180522,   51
225,20180523,   65
225,20180524,   78
225,20180525,   40
225,20180526,   72
225,20180527,   63
225,20180528,   45
225,20180529,   62
225,20180530,   38
225,20180531,   40
225,20180601,   44
225,20180602,   70
225,20180603,   43
225,20180604,   59
225,20180605,   68
225,20180606,   63
225,20180607,   46
225,20180608,   57
225,20180609,   68
225,20180610,   71
225,20180611,   66
225,20180612,   70
225,20180613,   70
225,20180614,   93
225,20180615,   30
225,20180616,   76
225,20180617,  103
225,20180618,  112
225,20180619,   63
225,20180620,   88
225,20180621,  119
225,20180622,  113
225,20180623,   55
225,20180624,   59
225,20180625,   50
225,20180626,   68
225,20180627,   60
225,20180628,   72
225,20180629,   70
225,20180630,   79
225,20180701,   88
225,20180702,   85
225,20180703,   76
225,20180704,   58
225,20180705,   34
225,20180706,   51
225,20180707,   42
225,20180708,   40
225,20180709,   65
225,20180710,  101
225,20180711,   66
225,20180712,   66
225,20180713,   57
225,20180714,   49
225,20180715,   41
225,20180716,   38
225,20180717,   62
225,20180718,   44
225,20180719,   53
225,20180720,   58
225,20180721,   66
225,20180722,   34
225,20180723,   20
225,20180724,   35
225,20180725,   38
225,20180726,   47
225,20180727,   58
225,20180728,   93
225,20180729,   73
225,20180730,   44
225,20180731,   46
225,20180801,   25
225,20180802,   26
225,20180803,   39
225,20180804,   63
225,20180805,   55
225,20180806,   42
225,20180807,   28
225,20180808,   76
225,20180809,   72
225,20180810,  113
225,20180811,   77
225,20180812,   51
225,20180813,   51
225,20180814,   81
225,20180815,   84
225,20180816,   82
225,20180817,   47
225,20180818,   87
225,20180819,  103
225,20180820,   44
225,20180821,   28
225,20180822,   62
225,20180823,   83
225,20180824,   98
225,20180825,   79
225,20180826,   89
225,20180827,  105
225,20180828,   26
225,20180829,   54
225,20180830,   69
225,20180831,   23
225,20180901,   33
225,20180902,   55
225,20180903,   60
225,20180904,   58
225,20180905,   47
225,20180906,   56
225,20180907,  108
225,20180908,  100
225,20180909,   78
225,20180910,   88
225,20180911,  130
225,20180912,   46
225,20180913,   25
225,20180914,   87
225,20180915,   71
225,20180916,   70
225,20180917,   51
225,20180918,  115
225,20180919,  110
225,20180920,  100
225,20180921,  167
225,20180922,   92
225,20180923,   66
225,20180924,   95
225,20180925,   33
225,20180926,   94
225,20180927,   62
225,20180928,   70
225,20180929,   32
225,20180930,   68
225,20181001,  112
225,20181002,  115
225,20181003,   82
225,20181004,   78
225,20181005,   34
225,20181006,   59
225,20181007,   45
225,20181008,   78
225,20181009,   57
225,20181010,   55
225,20181011,   54
225,20181012,   78
225,20181013,   65
225,20181014,   53
225,20181015,   47
225,20181016,   35
225,20181017,   37
225,20181018,   60
225,20181019,   35
225,20181020,   39
225,20181021,   66
225,20181022,   86
225,20181023,  135
225,20181024,   96
225,20181025,   75
225,20181026,  107
225,20181027,   66
225,20181028,   77
225,20181029,   78
225,20181030,   90
225,20181031,   66
225,20181101,   63
225,20181102,   79
225,20181103,   53
225,20181104,   43
225,20181105,   45
225,20181106,   49
225,20181107,   72
225,20181108,   64
225,20181109,   54
225,20181110,   78
225,20181111,   90
225,20181112,   63
225,20181113,  110
225,20181114,   61
225,20181115,   40
225,20181116,   34
225,20181117,   75
225,20181118,   92
225,20181119,  109
225,20181120,  123
225,20181121,   58
225,20181122,   50
225,20181123,   53
225,20181124,   72
225,20181125,   64
225,20181126,   77
225,20181127,   47
225,20181128,   84
225,20181129,   98
225,20181130,  108
225,20181201,   96
225,20181202,   99
225,20181203,  101
225,20181204,   50
225,20181205,   53
225,20181206,   90
225,20181207,  144
225,20181208,  163
225,20181209,  141
225,20181210,  121
225,20181211,   54
225,20181212,   39
225,20181213,   81
225,20181214,   51
225,20181215,   61
225,20181216,   54
225,20181217,   71
225,20181218,   72
225,20181219,   78
225,20181220,  105
225,20181221,  106
225,20181222,   85
225,20181223,   57
225,20181224,   44
225,20181225,   78
225,20181226,   80
225,20181227,   41
225,20181228,   46
225,20181229,  100
225,20181230,   58
