OBJECTNUMMER;Gebied;Jaar;Waargenomen_bijen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
14;"Vondelpark";1998;"Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone smaragdgroefbij - Meidoornzandbij - Tweekleurige zandbij - Witbaardzandbij";"POINT(4.8679569,52.3575369)";"POINT(52.3575369,4.8679569)";4.8679569;52.3575369;
17;"Boris Pasternakstraat";1998;"Gewone wespbij";"POINT(4.942651,52.318402)";"POINT(52.318402,4.942651)";4.942651;52.318402;
18;"Kelbergen";1998;"Fluitenkruidbij - Gewone franjegroefbij - Gewone maskerbij - Tuinmaskerbij";"POINT(4.970567,52.3119475)";"POINT(52.3119475,4.970567)";4.970567;52.3119475;
19;"Beatixpark";1998;"Donkere wespbij - Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Grasbij - Grijze rimpelrug - Tweekleurige zandbij - Vosje - Witkopdwergzandbij";"POINT(4.8814108,52.3434607)";"POINT(52.3434607,4.8814108)";4.8814108;52.3434607;
20;"De Boelelaan";1998;"Gewone geurgroefbij - Witbaardzandbij";"POINT(4.8763039,52.3352515)";"POINT(52.3352515,4.8763039)";4.8763039;52.3352515;
21;"De Borcht";1998;"Donkere wespbij - Witbaardzandbij";"POINT(4.8922679,52.3243414)";"POINT(52.3243414,4.8922679)";4.8922679;52.3243414;
22;"Gijsbrecht van Amstelpark";1998;"Donkere wespbij - Ereprijszandbij - Gewone geurgroefbij - Gewone sachembij - Gewone smaragdgroefbij - Goudpootzandbij - Parkbronsgroefbij - Roodgatje - Roodpotige groefbij - Witbaardzandbij - Witkopdwergzandbij";"POINT(4.8730862,52.3283316)";"POINT(52.3283316,4.8730862)";4.8730862;52.3283316;
23;"Oude IJssel";1998;"Rosse metselbij - Witbaardzandbij";"POINT(4.9025791,52.3480727)";"POINT(52.3480727,4.9025791)";4.9025791;52.3480727;
24;"Sarphatistraat";1998;"Grijze rimpelrug - Rosse metselbij - Vosje";"POINT(4.9002511,52.3595015)";"POINT(52.3595015,4.9002511)";4.9002511;52.3595015;
25;"Duivendrechtse polder Viaduct A2";1998;"Geelschouderwespbij - Vroege zandbij";"POINT(4.9132111,52.3242232)";"POINT(52.3242232,4.9132111)";4.9132111;52.3242232;
26;"Omgeving Arena";1998;"Rosse metselbij";"POINT(4.9391749,52.3154494)";"POINT(52.3154494,4.9391749)";4.9391749;52.3154494;
27;"Rijksstraatweg Duivendrecht";1998;"Gewone geurgroefbij - Gewone sachembij - Grasbij";"POINT(4.9390891,52.3270575)";"POINT(52.3270575,4.9390891)";4.9390891;52.3270575;
28;"De Slinger Gooise weg";1998;"Gewone geurgroefbij - Grote bladsnijder";"POINT(4.94647,52.3310706)";"POINT(52.3310706,4.94647)";4.94647;52.3310706;
29;"De Slinger ?";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Parkbronsgroefbij - Roodsprietwespbij - Rosse metselbij - Tweekleurige zandbij - Witbaardzandbij - Witkopdwergzandbij";"POINT(4.9357741,52.3299185)";"POINT(52.3299185,4.9357741)";4.9357741;52.3299185;
30;"Leksmondplein";1998;"Ereprijszandbij - Fluitenkruidbij - Gewone geurgroefbij - Gewone sachembij - Gewone smaragdgroefbij - Roodpotige groefbij";"POINT(4.9798911,52.3087966)";"POINT(52.3087966,4.9798911)";4.9798911;52.3087966;
31;"Leusdenhof";1998;"Ereprijszandbij - Rosse metselbij - Witbaardzandbij - Witkopdwergzandbij";"POINT(4.9785712,52.3085486)";"POINT(52.3085486,4.9785712)";4.9785712;52.3085486;
32;"Tongerenstraat";1998;"Ereprijszandbij";"POINT(4.9675848,52.2943083)";"POINT(52.2943083,4.9675848)";4.9675848;52.2943083;
33;"Sportpark de Eendracht";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Gewone smaragdgroefbij - Grote bladsnijder - Roodpotige groefbij - Wormkruidbij";"POINT(4.7845938,52.3811728)";"POINT(52.3811728,4.7845938)";4.7845938;52.3811728;
34;"Alkmaarstraat";1998;"Gewone sachembij";"POINT(4.952307,52.3943068)";"POINT(52.3943068,4.952307)";4.952307;52.3943068;
35;"Baanakkerspark";1998;"Donkere wespbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Vosje - Witbaardzandbij";"POINT(4.944668,52.3961531)";"POINT(52.3961531,4.944668)";4.944668;52.3961531;
36;"Barkpad";1998;"Grote wolbij";"POINT(4.9073751,52.4040991)";"POINT(52.4040991,4.9073751)";4.9073751;52.4040991;
37;"Buikslotermeerdijk";1998;"Grasbij - Tweekleurige zandbij - Witkopdwergzandbij";"POINT(4.9293692,52.4096915)";"POINT(52.4096915,4.9293692)";4.9293692;52.4096915;
38;"Groenstrook rondweg A10 ?";1998;"Gewone geurgroefbij - Grasbij - Grote wolbij - Matte bandgroefbij - Tweekleurige zandbij - Witkopdwergzandbij";"POINT(4.9507301,52.4018752)";"POINT(52.4018752,4.9507301)";4.9507301;52.4018752;
39;"Hilversumstraat ";1998;"Gewone geurgroefbij";"POINT(4.9561908,52.3891875)";"POINT(52.3891875,4.9561908)";4.9561908;52.3891875;
40;"Markengouw";1998;"Tweekleurige zandbij";"POINT(4.9587009,52.3954321)";"POINT(52.3954321,4.9587009)";4.9587009;52.3954321;
41;"Nieuwe Purmerweg";1998;"Tweekleurige zandbij";"POINT(4.9247768,52.3981063)";"POINT(52.3981063,4.9247768)";4.9247768;52.3981063;
42;"Noordhollandsch kanaal";1998;"Tweekleurige zandbij";"POINT(4.9219229,52.3996359)";"POINT(52.3996359,4.9219229)";4.9219229;52.3996359;
43;"Het IJ ";1998;"Grote bladsnijder";"POINT(4.9020531,52.3830306)";"POINT(52.3830306,4.9020531)";4.9020531;52.3830306;
44;"Ringweg Noord";1998;"Gewone geurgroefbij - Gewone sachembij - Grasbij - Rosse metselbij - Tweekleurige zandbij - Witbaardzandbij";"POINT(4.969516,52.3846022)";"POINT(52.3846022,4.969516)";4.969516;52.3846022;
45;"Schellingwouderdijk";1998;"Gewone geurgroefbij - Roodpotige groefbij - Tweekleurige zandbij";"POINT(4.9423082,52.3901564)";"POINT(52.3901564,4.9423082)";4.9423082;52.3901564;
46;"Waddendijk";1998;"Gewone geurgroefbij - Grasbij - Grijze rimpelrug - Tweekleurige zandbij - Vosje - Witkopdwergzandbij";"POINT(4.9290039,52.3940512)";"POINT(52.3940512,4.9290039)";4.9290039;52.3940512;
47;"Heemtuin Th. Weeversweg";1998;"Gewone geurgroefbij - Gewone sachembij - Meidoornzandbij - Roodpotige groefbij - Rosse metselbij - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij";"POINT(4.9426992,52.3984763)";"POINT(52.3984763,4.9426992)";4.9426992;52.3984763;
48;"Heemtuin Het Schouw";1998;"Donkere wespbij - Gewone wespbij";"POINT(4.9426558,52.3984419)";"POINT(52.3984419,4.9426558)";4.9426558;52.3984419;
49;"Werengouw";1998;"Donkere wespbij - Gewone franjegroefbij - Gewone maskerbij - Gewone wespbij - Grijze rimpelrug - Rosse metselbij - Tuinmaskerbij - Witbaardzandbij";"POINT(4.952522,52.3928038)";"POINT(52.3928038,4.952522)";4.952522;52.3928038;
50;"Zuiderzeeweg";1998;"Gewone smaragdgroefbij - Grasbij - Roodpotige groefbij";"POINT(4.9684861,52.3800704)";"POINT(52.3800704,4.9684861)";4.9684861;52.3800704;
51;"Baden Powellweg";1998;"Gewone geurgroefbij - Grasbij - Grijze rimpelrug - Roodpotige groefbij - Rosse metselbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij - Zwartbronzen zandbij";"POINT(4.7909019,52.3558089)";"POINT(52.3558089,4.7909019)";4.7909019;52.3558089;
52;"Eastonstraat";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Wespbij spec. - Witkopdwergzandbij";"POINT(4.8110731,52.356259)";"POINT(52.356259,4.8110731)";4.8110731;52.356259;
53;"Fietspad T106";1998;"Grasbij - Tweekleurige zandbij";"POINT(4.8069522,52.3323294)";"POINT(52.3323294,4.8069522)";4.8069522;52.3323294;
54;"Ingelandenweg";1998;"Tweekleurige zandbij";"POINT(4.7845509,52.3591086)";"POINT(52.3591086,4.7845509)";4.7845509;52.3591086;
55;"Jan Smitstraat Ecohof";1998;"Gewone geurgroefbij - Grasbij - Witkopdwergzandbij";"POINT(4.8007028,52.3510253)";"POINT(52.3510253,4.8007028)";4.8007028;52.3510253;
56;"Lelylaan";1998;"Donkere wespbij - Meidoornzandbij";"POINT(4.8184111,52.3577849)";"POINT(52.3577849,4.8184111)";4.8184111;52.3577849;
57;"Meer en Vaart";1998;"Roodgatje - Tweekleurige zandbij - Witbaardzandbij";"POINT(4.80809,52.3589408)";"POINT(52.3589408,4.80809)";4.80809;52.3589408;
58;"Osdorperweg";1998;"Gewone geurgroefbij - Grasbij - Roodpotige groefbij - Witkopdwergzandbij";"POINT(4.7750671,52.3724753)";"POINT(52.3724753,4.7750671)";4.7750671;52.3724753;
59;"Pieter Calandlaan";1998;"Gewone geurgroefbij - Gewone sachembij - Roodpotige groefbij - Tweekleurige zandbij";"POINT(4.8193982,52.3558737)";"POINT(52.3558737,4.8193982)";4.8193982;52.3558737;
60;"Westgaarde";1998;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Grote bladsnijder - Kleine wespbij - Parkbronsgroefbij - Roodpotige groefbij - Tuinbladsnijder - Tweekleurige zandbij - Wespbij spec. - Witkopdwergzandbij";"POINT(4.774122,52.3586623)";"POINT(52.3586623,4.774122)";4.774122;52.3586623;
61;"Wiedijktuin";1998;"Gewone geurgroefbij - Grote bladsnijder - Meidoornzandbij - Roodpotige groefbij - Rosse metselbij - Witkopdwergzandbij";"POINT(4.8172419,52.3568999)";"POINT(52.3568999,4.8172419)";4.8172419;52.3568999;
62;"Bilderdijkpark";1998;"Grote bladsnijder - Rosse metselbij";"POINT(4.869878,52.3716437)";"POINT(52.3716437,4.869878)";4.869878;52.3716437;
63;"Jacob van Lennepkade";1998;"Gewone maskerbij - Gewone sachembij - Rosse metselbij - Witbaardzandbij";"POINT(4.865833,52.3636901)";"POINT(52.3636901,4.865833)";4.865833;52.3636901;
64;"Van Hogendorpstraat";1998;"Gewone maskerbij - Resedamaskerbij - Tuinmaskerbij";"POINT(4.8688371,52.3822066)";"POINT(52.3822066,4.8688371)";4.8688371;52.3822066;
65;"Anthony Fokkerweg";1998;"Donkere wespbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Sierlijke wespbij - Witbaardzandbij";"POINT(4.8442352,52.3453223)";"POINT(52.3453223,4.8442352)";4.8442352;52.3453223;
66;"Abbenesstraat";1998;"Witbaardzandbij";"POINT(4.8466389,52.3481528)";"POINT(52.3481528,4.8466389)";4.8466389;52.3481528;
67;"Katwijkstraat";1998;"Witbaardzandbij";"POINT(4.8464458,52.3510481)";"POINT(52.3510481,4.8464458)";4.8464458;52.3510481;
68;"Valschermkade";1998;"Fluitenkruidbij - Gewone geurgroefbij - Gewone wespbij - Meidoornzandbij - Rosse metselbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij";"POINT(4.845072,52.3423583)";"POINT(52.3423583,4.845072)";4.845072;52.3423583;
69;"Amstelkade";1998;"Donkere wespbij - Gewone geurgroefbij - Gewone sachembij - Meidoornzandbij - Vosje";"POINT(4.8973319,52.3479315)";"POINT(52.3479315,4.8973319)";4.8973319;52.3479315;
70;"Graafschapstraat";1998;"Glanzende dwergbloedbij - Witbaardzandbij";"POINT(4.8942959,52.3391425)";"POINT(52.3391425,4.8942959)";4.8942959;52.3391425;
71;"President Kennedylaan";1998;"Gewone franjegroefbij";"POINT(4.8998001,52.3404051)";"POINT(52.3404051,4.8998001)";4.8998001;52.3404051;
72;"Bilderdijkkade";1998;"Gewone maskerbij";"POINT(4.8702309,52.3681838)";"POINT(52.3681838,4.8702309)";4.8702309;52.3681838;
73;"Burg Venig Meineszlaan";1998;"Grote bladsnijder - Tweekleurige zandbij";"POINT(4.8308141,52.3829543)";"POINT(52.3829543,4.8308141)";4.8308141;52.3829543;
74;"Johan Huizingallaan";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Tweekleurige zandbij";"POINT(4.8280671,52.3451659)";"POINT(52.3451659,4.8280671)";4.8280671;52.3451659;
75;"Kortrijk";1998;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij - Tweekleurige zandbij";"POINT(4.8016102,52.3439147)";"POINT(52.3439147,4.8016102)";4.8016102;52.3439147;
76;"Lanakenstraat";1998;"Gewone geurgroefbij - Grasbij";"POINT(4.8068449,52.3467223)";"POINT(52.3467223,4.8068449)";4.8068449;52.3467223;
77;"Mechelensingel";1998;"Gewone geurgroefbij";"POINT(4.80779,52.3471648)";"POINT(52.3471648,4.80779)";4.80779;52.3471648;
78;"Oudenaardeplantsoen";1998;"Gewone geurgroefbij - Gewone maskerbij - Grasbij - Matte bandgroefbij";"POINT(4.8025429,52.3467719)";"POINT(52.3467719,4.8025429)";4.8025429;52.3467719;
79;"Slotermeerlaan";1998;"Gewone franjegroefbij - Gewone geurgroefbij - Parkbronsgroefbij - Tweekleurige zandbij";"POINT(4.819741,52.3774764)";"POINT(52.3774764,4.819741)";4.819741;52.3774764;
80;"Vrije Geer";1998;"Dikkopbloedbij - Gewone geurgroefbij - Grasbij - Schoffelbloedbij - Tweekleurige zandbij";"POINT(4.7982409,52.3454787)";"POINT(52.3454787,4.7982409)";4.7982409;52.3454787;
81;"Spaarndammerdijk";1998;"Gewone geurgroefbij - Tweekleurige zandbij";"POINT(4.861841,52.3916365)";"POINT(52.3916365,4.861841)";4.861841;52.3916365;
82;"Brinkstraat";1998;"Grote bladsnijder - Tweekleurige zandbij";"POINT(4.9453981,52.3417822)";"POINT(52.3417822,4.9453981)";4.9453981;52.3417822;
83;"Willem Dreeshuis";1998;"Grote bladsnijder - Grote wolbij";"POINT(4.9328878,52.3489882)";"POINT(52.3489882,4.9328878)";4.9328878;52.3489882;
84;"Nieuwe Oosterbegraafplaats";1998;"Geeltipje - Gewone geurgroefbij - Langkopsmaragdgroefbij - Tweekleurige zandbij";"POINT(4.9383809,52.3448111)";"POINT(52.3448111,4.9383809)";4.9383809;52.3448111;
85;"Nobelweg";1998;"Tuinbladsnijder";"POINT(4.9252489,52.3498313)";"POINT(52.3498313,4.9252489)";4.9252489;52.3498313;
86;"Omgeving Willem Dreeshuis";1998;"Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij";"POINT(4.9322331,52.3488394)";"POINT(52.3488394,4.9322331)";4.9322331;52.3488394;
87;"Ooster Ringdijk";1998;"Gewone geurgroefbij - Gewone maskerbij - Roodpotige groefbij - Witkopdwergzandbij";"POINT(4.9486592,52.3578002)";"POINT(52.3578002,4.9486592)";4.9486592;52.3578002;
88;"Rozenburglaan";1998;"Gewone geurgroefbij - Grote bladsnijder - Parkbronsgroefbij - Tweekleurige zandbij - Vosje - Witkopdwergzandbij";"POINT(4.9376728,52.3400008)";"POINT(52.3400008,4.9376728)";4.9376728;52.3400008;
89;"Veeteeltstraat";1998;"Gewone maskerbij - Grote bladsnijder - Tuinmaskerbij";"POINT(4.9475758,52.3413169)";"POINT(52.3413169,4.9475758)";4.9475758;52.3413169;
90;"Eerste Hugo de Grootstraat";1998;"Grijze rimpelrug - Rosse metselbij";"POINT(4.8743508,52.3761031)";"POINT(52.3761031,4.8743508)";4.8743508;52.3761031;
91;"Tweede Hugo de Grootstraat";1998;"Gewone geurgroefbij";"POINT(4.8733962,52.3745238)";"POINT(52.3745238,4.8733962)";4.8733962;52.3745238;
92;"Derde Hugo de Grootstraat";1998;"Grijze rimpelrug";"POINT(4.871712,52.3738562)";"POINT(52.3738562,4.871712)";4.871712;52.3738562;
93;"Van Boetzelaerstraat";1998;"Gewone maskerbij";"POINT(4.8723881,52.3823897)";"POINT(52.3823897,4.8723881)";4.8723881;52.3823897;
94;"De Wittenkade";1998;"Bloedbij spec. - Tweekleurige zandbij";"POINT(4.8763039,52.3829543)";"POINT(52.3829543,4.8763039)";4.8763039;52.3829543;
95;"Waterloop";1998;"Dikkopbloedbij - Gewone maskerbij - Gewone sachembij - Grote bladsnijder - Grote wolbij - Matte bandgroefbij - Roodsprietwespbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij - Witkopdwergzandbij - Wormkruidbij";"POINT(4.8689549,52.3831412)";"POINT(52.3831412,4.8689549)";4.8689549;52.3831412;
96;"Westerpark";1998;"Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Grasbij - Grijze rimpelrug - Meidoornzandbij - Parkbronsgroefbij - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Sierlijke wespbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Witkopdwergzandbij";"POINT(4.8769052,52.3864638)";"POINT(52.3864638,4.8769052)";4.8769052;52.3864638;
97;"Westerpark nieuw gedeelte";1998;"Dikkopbloedbij - Donkere wespbij - Gewone wespbij - Grote bladsnijder - Pluimvoetbij - Roodpotige groefbij - Schoffelbloedbij - Sierlijke wespbij";"POINT(4.8716471,52.386975)";"POINT(52.386975,4.8716471)";4.8716471;52.386975;
98;"Flevopark";1998;"Gewone geurgroefbij - Gewone maskerbij - Gewone wespbij - Grijze rimpelrug - Meidoornzandbij - Roodgatje - Viltvlekzandbij - Vosje - Witkopdwergzandbij";"POINT(4.9500959,52.3632132)";"POINT(52.3632132,4.9500959)";4.9500959;52.3632132;
99;"Kramatweg";1998;"Rosse metselbij - Sierlijke wespbij - Vosje";"POINT(4.94647,52.3651778)";"POINT(52.3651778,4.94647)";4.94647;52.3651778;
100;"Sumatraplantsoen";1998;"Bruine rouwbij - Gewone geurgroefbij - Gewone sachembij - Grijze rimpelrug - Rosse metselbij - Sierlijke wespbij - Vosje - Witbaardzandbij";"POINT(4.9430692,52.3599097)";"POINT(52.3599097,4.9430692)";4.9430692;52.3599097;
101;"Oude Bijlmerflats";1998;"Gewone dwergzandbij - Gewone geurgroefbij - Langkopsmaragdgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Rosse metselbij - Witkopdwergzandbij";"POINT(4.969816,52.3234259)";"POINT(52.3234259,4.969816)";4.969816;52.3234259;
103;"Abcouderpad";2014;"Gedoornde slakkenhuisbij - Gewone geurgroefbij - Grasbij - Matte bandgroefbij - Roodpotige groefbij - Tuinbladsnijder - Wormkruidbij";"POINT(4.9573171,52.3068701)";"POINT(52.3068701,4.9573171)";4.9573171;52.3068701;
104;"Adelaarsweg";2014;"Gewone kleine wespbij - Grasbij - Tuinmaskerbij - Wormkruidbij";"POINT(4.9176099,52.387879)";"POINT(52.387879,4.9176099)";4.9176099;52.387879;
105;"Amsteldijk";2014;"Ereprijszandbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Parkbronsgroefbij - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Witbaardzandbij - Wormkruidbij";"POINT(4.8943288,52.3242118)";"POINT(52.3242118,4.8943288)";4.8943288;52.3242118;
106;"Amstelpark";2014;"Bleekvlekwespbij - Gewone dwergbloedbij - Gewone sachembij - Gewone slobkousbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Pantserbloedbij - Roodbuikje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Vosje - Witbaardzandbij";"POINT(4.894243,52.3295638)";"POINT(52.3295638,4.894243)";4.894243;52.3295638;
107;"Baanakkerspark";2014;"Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Grasbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Viltvlekzandbij - Vroege zandbij";"POINT(4.9455531,52.3977019)";"POINT(52.3977019,4.9455531)";4.9455531;52.3977019;
108;"Beatrixpark";2014;"Donkere wespbij - Ereprijszandbij - Geeltipje - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grijze rimpelrug - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij";"POINT(4.8791802,52.3429572)";"POINT(52.3429572,4.8791802)";4.8791802;52.3429572;
