Gebied,Jaar,Waargenomen_bijen,LNG,LAT
Fietspad Abcoude,1998,Ereprijszandbij - Gewone geurgroefbij - Rosse metselbij,4.959560099999999,52.304970399999995
Bijlmer laagbouw,1998,Ereprijszandbij,4.982691,52.3256308
Ringvaartdijk T106,1998,Grasbij - Kortsprietwespbij,4.8051498,52.3325125
Ringvaartdijk,1998,Grasbij - Kortsprietwespbij - Matte bandgroefbij - Parkbronsgroefbij - Roodpotige groefbij - Tuinbladsnijder - Tweekleurige zandbij,4.7559259,52.3570372
Flierbosdreef,1998,Ereprijszandbij,4.959667,52.3108985
Het Hoogt,1998,Grote wolbij,4.938338,52.3968474
Buikslotermeerdijk,2014,Gewone geurgroefbij - Grasbij - Roodgatje - Vosje,4.9288752,52.4095313
Darwinplantsoen,2014,Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Wormkruidbij,4.931063900000001,52.3447577
Diemerpark,2014,Donkere wespbij - Duinzijdebij - Gewone dwergbloedbij - Gewone geurgroefbij - Gewone kleine wespbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Grote zijdebij - Matte bandgroefbij - Parkbronsgroefbij - Pluimvoetbij - Rood-Zwarte dubbeltand - Roodgatje - Smalbandwespbij - Tweekleurige zandbij - Wimperflankzandbij - Wormkruidbij,4.984751,52.353028
Flevopark,2014,Blauwe metselbij - Bruinsprietwespbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Grasbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij,4.950505000000001,52.3630416
Gijsbrecht van Aemstelpark,2014,Ereprijszandbij - Fluitenkruidbij - Gewone dwergbloedbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Goudpootzandbij - Grasbij - Grote bladsnijder - Resedamaskerbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Schoffelbloedbij - Tuinbladsnijder - Viltvlekzandbij - Witbaardzandbij - Wormkruidbij,4.8758752,52.3285643
Van der Boechorststraat,2014,Gewone dwergzandbij - Gewone sachembij - Goudpootzandbij - Roodgatje - Rosse metselbij - Smalbandwespbij - Viltvlekzandbij - Vosje - Witbaardzandbij,4.8620989,52.3307044
Heemtuin Berend Seinen,2014,Blauwe metselbij - Duinzijdebij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Langkopsmaragdgroefbij - Matte bandgroefbij - Rosse metselbij - Tuinbladsnijder - Vosje - Weidemaskerbij,4.942817,52.398529700000005
Havengebied,2014,Gewone geurgroefbij - Grasbij - Grote bloedbij - Matte bandgroefbij - Pantserbloedbij - Roodgatje - Witbaardzandbij - Wormkruidbij,4.7946789,52.41424620000001
Heggenrankweg 87: N.J.Schaaptuin,2014,Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote wolbij - Tuinbladsnijder - Tweekleurige zandbij,4.911881200000001,52.3965804
Hermitage,2014,Grote bladsnijder,4.9022682,52.3651091
Hortus botanicus,2014,Geelgerande tubebij - Gewone dwergzandbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Resedamaskerbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij,4.9081361,52.3667761
Kalfjeslaan,2014,Bleekvlekwespbij - Gewone dubbeltand - Gewone dwergbloedbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone sachembij - Gewone slobkousbij - Grasbij - Grijze rimpelrug - Grijze zandbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Matte bandgroefbij - Rood-Zwarte dubbeltand - Roodbuikje - Roodgatje - Rosse metselbij - Tronkenbij - Tuinbladsnijder - Tweekleurige zandbij - Vosje - Witbaardzandbij - Wormkruidbij,4.8770769,52.321957299999994
Kramatweg,2014,Blauwe metselbij - Dikkopbloedbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone maskerbij - Smalbandwespbij - Wormkruidbij,4.9464809999999995,52.3651396
Keizersgracht 177,2014,Grote bladsnijder - Tuinmaskerbij,4.885453,52.3745276
Kelbergen,2014,Gewone maskerbij - Matte bandgroefbij - Wormkruidbij,4.972348,52.310532200000004
Leusdenhof,2014,Gehoornde metselbij - Gewone geurgroefbij - Grasbij - Rood-Zwarte dubbeltand - Rosse metselbij - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Wormkruidbij,4.9785712,52.3084723
Nieuwe Oosterbegraafplaats,2014,Duinzijdebij - Gewone dwergbloedbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Grasbij - Grote bladsnijder - Grote klokjesbij - Langkopsmaragdgroefbij - Parkbronsgroefbij - Rood-Zwarte dubbeltand - Roodgatje - Roodpotige groefbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Viltvlekzandbij - Wormkruidbij,4.9377592,52.3444563
Park Frankendael,2014,Andoornbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone slobkousbij - Gewone wespbij - Goudpootzandbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Grote wolbij - Ruige behangersbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Vosje - Wormkruidbij,4.9309781,52.3504874
Piet Heinkade,2014,Duinzijdebij - Gewone geurgroefbij - Grasbij - Grote bladsnijder - Grote klokjesbij - Matte bandgroefbij - Pluimvoetbij - Resedamaskerbij - Tronkenbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij,4.932093900000001,52.373547200000004
Ploegstraat,2014,Gewone maskerbij,4.9465239,52.342339200000005
Puttersplantsoen,2014,Wormkruidbij,4.9610722,52.316937100000004
Ringvaart bij flevopark,2014,Gewone slobkousbij,4.952049,52.3576438
Ringweg Zuid,2014,Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Grote bladsnijder - Grote klokjesbij - Rosse metselbij - Wormkruidbij,4.887805200000001,52.3371169
Sarphatipark,2014,Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Grote bladsnijder - Rosse metselbij - Tuinbladsnijder - Vosje,4.8963778,52.354298299999996
Schellingwoudedijk 280-340,2014,Gewone maskerbij - Grote bladsnijder - Grote wolbij - Tweekleurige zandbij,4.965066200000001,52.3826453
Strandvlietpad,2014,Rood-Zwarte dubbeltand - Tuinmaskerbij,4.9527581,52.320210100000004
Sumatraplantsoen,2014,Gewone geurgroefbij - Tuinmaskerbij - Wormkruidbij,4.9430048,52.3598906
Texelsepad,2014,Gewone dwergzandbij - Gewone geurgroefbij - Grasbij - Wormkruidbij,4.9258977999999995,52.392693200000004
Van Boetzelaerstraat,2014,Gewone geurgroefbij - Grote bladsnijder,4.874244,52.382664399999996
Van Hallstraat,2014,Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Matte bandgroefbij - Tuinmaskerbij,4.8715622000000005,52.3803717
Veeteeltstraat,2014,Grote bladsnijder - Tweekleurige zandbij,4.9473822,52.341397
Vondelpark,2014,Dikkopbloedbij - Gewone dwergzandbij - Gewone geurgroefbij - Gewone kleine wespbij - Gewone maskerbij - Gewone sachembij - Gewone smaragdgroefbij - Grote bladsnijder - Grote klokjesbij - Matte bandgroefbij - Roodgatje - Roodpotige groefbij - Rosse metselbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Witbaardzandbij,4.8685148,52.3575942
Waterbaan,2014,Gewone maskerbij - Matte bandgroefbij - Tuinbladsnijder - Tuinmaskerbij - Tweekleurige zandbij - Wormkruidbij,4.8685682,52.3836218
Waterloop,2014,Gewone geurgroefbij - Gewone sachembij - Grasbij - Rosse metselbij - Tuinbladsnijder - Tweekleurige zandbij - Vosje - Vroege zandbij,4.869137,52.3836295
Westerpark,2014,Biggenkruidgroefbij - Gewone dwergzandbij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone smaragdgroefbij - Grasbij - Grote bladsnijder - Grote wolbij - Matte bandgroefbij - Roodgatje - Tuinmaskerbij - Tweekleurige zandbij,4.876722099999999,52.3865477
Westerpark Dijkje,2014,Bruinsprietwespbij - Dikkopbloedbij - Gewone dwergzandbij - Grote bladsnijder - Pluimvoetbij - Rood-Zwarte dubbeltand - Roodbuikje,4.871669,52.3881117
Westerpark talud NS,2014,Gewone sachembij - Grasbij - Grote zijdebij - Parkbronsgroefbij - Rosse metselbij - Tronkenbij - Vroege zandbij,4.8772910000000005,52.387654
Zuiderzeeweg,2014,Gewone dwergzandbij - Gewone geurgroefbij - Rimpelkruinbloedbij - Wormkruidbij,4.968271,52.37988729999999
Rozenburglaan,2014,Duinzijdebij - Gewone franjegroefbij - Gewone geurgroefbij - Gewone sachembij - Rosse metselbij - Vosje,4.938531200000001,52.3398406
Kabouterberg Elpermeer,2014,Gewone dwergzandbij - Grasbij,4.9481008,52.4032828
Brettenzone,2014,Bruinsprietwespbij - Dikkopbloedbij - Donkere wilgenzandbij - Gewone dubbeltand - Gewone dwergbloedbij - Gewone geurgroefbij - Gewone sachembij - Glanzende bandgroefbij - Goudpootzandbij - Grasbij - Grijze zandbij - Grote bladsnijder - Grote zijdebij - Matte bandgroefbij - Pluimvoetbij - Roodbuikje - Roodgatje - Viltvlekzandbij - Vosje - Vroege zandbij - Wormkruidbij - Zwart rosse zandbij - Zwartbronzen zandbij,4.7754528,52.3875357
Lelylaan,2014,Donkere wespbij - Gewone geurgroefbij - Gewone wespbij,4.819268900000001,52.35801
Wiedijktuin,2014,Fluitenkruidbij - Gewone geurgroefbij - Gewone maskerbij - Gewone slobkousbij - Gewone wespbij - Grote bladsnijder - Matte bandgroefbij - Rosse metselbij - Tuinbladsnijder - Vosje - Witbaardzandbij,4.816479900000001,52.3569075
Vrije Geer,2014,Gewone geurgroefbij - Roodgatje - Rosse metselbij - Tuinbladsnijder,4.8002579,52.3455321
Plesmanlaan,2014,Gewone geurgroefbij - Gewone sachembij - Parkbronsgroefbij - Roodpotige groefbij - Vosje,4.8193982,52.351009999999995
Paden Powelweg,2014,Gewone maskerbij - Gewone sachembij,4.7914169,52.355675399999996
Ponthaven,2014,Dikkopbloedbij - Gewone dwergbloedbij - Grote bloedbij - Grote zijdebij - Vroege zandbij - Witbaardzandbij,4.9273298,52.3840529
Ringdijk,2014,Gewone sachembij - Grasbij - Grote zijdebij - Tweekleurige zandbij,4.9250562,52.3532645
Sciencepark,2014,Gewone kleine wespbij - Grasbij,4.9594738,52.355835600000006
Westpoortweg tijdelijke natuur,2015,Grote bloedbij - Matte bandgroefbij - Pantserbloedbij - Roodgatje - Witbaardzandbij,4.7417109,52.4282843
Talud bosbaan,2017,Fluitenkruidbij - Gewone franjegroefbij - Gewone sachembij - Goudpootzandbij - Grasbij - Grijze rimpelrug - Matte bandgroefbij - Roodgatje - Vosje - Witkopdwergzandbij,4.8524631,52.3293838
Zandplaats,2017,Grijze zandbij - Matte bandgroefbij - Pantserbloedbij - Roodgatje - Rosse metselbij - Viltvlekzandbij - Witkopdwergzandbij - Wormkruidbij - Zwart rosse zandbij,4.846406900000001,52.32900720000001
Bosbaan - fietspad,2017,Fluitenkruidbij - Gewone geurgroefbij - Gewone sachembij - Gewone wespbij - Goudpootzandbij - Meidoornzandbij - Rood-Zwarte dubbeltand - Roodgatje - Roodpotige groefbij - Sierlijke wespbij - Viltvlekzandbij - Witkopdwergzandbij,4.8263176,52.325626899999996
Heuvel Amsterdamse bos ,2017,Gewone sachembij - Goudpootzandbij - Meidoornzandbij - Rood-Zwarte dubbeltand - Vosje,4.8391348,52.3203655
Heuvel Amsterdamse bos,2017,Gewone sachembij - Goudpootzandbij - Matte bandgroefbij - Meidoornzandbij - Rood-Zwarte dubbeltand - Roodgatje - Viltvlekzandbij - Witkopdwergzandbij,4.832382,52.3188996
Heuvel Amsterdamse bos,2017,Gewone geurgroefbij - Gewone sachembij - Goudpootzandbij - Meidoornzandbij - Viltvlekzandbij,4.835285,52.316831799999996
Heuvel Amsterdamse bos,2017,Gewone geurgroefbij - Goudpootzandbij - Roodgatje,4.8342753,52.3150139
Amsterdamse bos vogeleiland,2017,Gewone geurgroefbij - Gewone maskerbij - Gewone sachembij - Gewone wespbij - Goudpootzandbij - Rood-Zwarte dubbeltand - Roodgatje - Rosse metselbij - Tuinhommel - Viltvlekzandbij - Witkopdwergzandbij - Wormkruidbij,4.8193729,52.314637700000006
Amsterdamse bos,2017,Gewone geurgroefbij - Gewone maskerbij - Rood-Zwarte dubbeltand - Roodgatje - Viltvlekzandbij - Wormkruidbij,4.815477099999999,52.308992100000005
Bloesempark Amsterdamse bos,2017,Gewone geurgroefbij - Gewone slobkousbij - Goudpootzandbij - Meidoornzandbij,4.8358398000000005,52.303922
Amsterdamse bos,2017,Gewone wespbij - Goudpootzandbij - Rood-Zwarte dubbeltand - Roodpotige groefbij - Rosse metselbij - Smalbandwespbij - Viltvlekzandbij,4.8190119000000005,52.2980003
Amsterdamse bos,2017,Goudpootzandbij - Rood-Zwarte dubbeltand - Smalbandwespbij - Viltvlekzandbij,4.8233160999999996,52.2986113
Amsterdamse bos,2017,Rosse metselbij,4.8311456,52.3119211
Amsterdamse bos,2017,Goudpootzandbij,4.8317262,52.310164799999995
Schinkelbos,2017,Gewone geurgroefbij - Goudpootzandbij - Meidoornzandbij - Rood-Zwarte dubbeltand - Roodgatje - Tronkenbij - Tuinbladsnijder - Viltvlekzandbij - Vroege zandbij,4.808184799999999,52.2995742
Amstelveense Poel,2017,Veenhommel,4.8351758,52.2988703
